Source,Target,Type,Id,Label,timeset,Weight
FRP,FRP,Directed,0,Hippocampal Formation,,0.000000
FRP,MOp,Directed,1,Hippocampal Formation,,0.000000
FRP,MOs,Directed,2,Hippocampal Formation,,0.000000
FRP,GU,Directed,3,Hippocampal Formation,,0.001101
FRP,AId,Directed,4,Hippocampal Formation,,0.000000
FRP,AIv,Directed,5,Hippocampal Formation,,0.013712
FRP,CLA,Directed,6,Hippocampal Formation,,0.006761
FRP,CP,Directed,7,Hippocampal Formation,,0.000006
FRP,FS,Directed,8,Hippocampal Formation,,0.008854
FRP,GPe,Directed,9,Hippocampal Formation,,0.000000
FRP,SPA,Directed,10,Hippocampal Formation,,0.000130
MOp,FRP,Directed,11,Pallidum,,0.000000
MOp,MOp,Directed,12,Pallidum,,0.000000
MOp,MOs,Directed,13,Pallidum,,0.000000
MOp,SSp-n,Directed,14,Pallidum,,0.000000
MOp,SSp-bfd,Directed,15,Pallidum,,0.000000
MOp,SSp-ll,Directed,16,Pallidum,,0.001703
MOp,SSp-m,Directed,17,Pallidum,,0.000000
MOp,SSp-ul,Directed,18,Pallidum,,0.000000
MOp,SSs,Directed,19,Pallidum,,0.000000
MOp,GU,Directed,20,Pallidum,,0.000000
MOp,VISC,Directed,21,Pallidum,,0.000000
MOp,AId,Directed,22,Pallidum,,0.000000
MOp,CLA,Directed,23,Pallidum,,0.000000
MOp,CP,Directed,24,Pallidum,,0.000000
MOp,FS,Directed,25,Pallidum,,0.000004
MOp,CEA,Directed,26,Pallidum,,0.000249
MOp,GPe,Directed,27,Pallidum,,0.000000
MOp,GPi,Directed,28,Pallidum,,0.000000
MOp,SI,Directed,29,Pallidum,,0.000663
MOp,VAL,Directed,30,Pallidum,,0.000000
MOp,VM,Directed,31,Pallidum,,0.000000
MOp,VPL,Directed,32,Pallidum,,0.000000
MOp,VPM,Directed,33,Pallidum,,0.000000
MOp,VPMpc,Directed,34,Pallidum,,0.000000
MOp,SPFp,Directed,35,Pallidum,,0.000000
MOp,PO,Directed,36,Pallidum,,0.000000
MOp,IMD,Directed,37,Pallidum,,0.000000
MOp,MD,Directed,38,Pallidum,,0.000000
MOp,RH,Directed,39,Pallidum,,0.000016
MOp,CM,Directed,40,Pallidum,,0.000000
MOp,CL,Directed,41,Pallidum,,0.000000
MOp,PF,Directed,42,Pallidum,,0.000000
MOp,RT,Directed,43,Pallidum,,0.000000
MOp,STN,Directed,44,Pallidum,,0.000000
MOp,SNr,Directed,45,Pallidum,,0.000000
MOp,VTA,Directed,46,Pallidum,,0.000000
MOp,RR,Directed,47,Pallidum,,0.000000
MOp,MRN,Directed,48,Pallidum,,0.000000
MOp,SCm,Directed,49,Pallidum,,0.000109
MOp,APN,Directed,50,Pallidum,,0.000432
MOp,NOT,Directed,51,Pallidum,,0.000006
MOp,NPC,Directed,52,Pallidum,,0.000060
MOp,RN,Directed,53,Pallidum,,0.000006
MOp,SNc,Directed,54,Pallidum,,0.000000
MOp,PPN,Directed,55,Pallidum,,0.000388
MOp,IPN,Directed,56,Pallidum,,0.000000
MOp,CLI,Directed,57,Pallidum,,0.000000
MOp,DR,Directed,58,Pallidum,,0.000000
MOp,PSV,Directed,59,Pallidum,,0.000393
MOp,PB,Directed,60,Pallidum,,0.000000
MOp,PG,Directed,61,Pallidum,,0.000000
MOp,PRNc,Directed,62,Pallidum,,0.000000
MOp,SUT,Directed,63,Pallidum,,0.000000
MOp,TRN,Directed,64,Pallidum,,0.000000
MOp,V,Directed,65,Pallidum,,0.000000
MOp,CS,Directed,66,Pallidum,,0.000000
MOp,PRNr,Directed,67,Pallidum,,0.000308
MOp,NTS,Directed,68,Pallidum,,0.000000
MOp,SPVO,Directed,69,Pallidum,,0.000000
MOp,GRN,Directed,70,Pallidum,,0.000000
MOp,IO,Directed,71,Pallidum,,0.000000
MOp,IRN,Directed,72,Pallidum,,0.000000
MOp,MARN,Directed,73,Pallidum,,0.000000
MOp,MDRNv,Directed,74,Pallidum,,0.000280
MOp,PARN,Directed,75,Pallidum,,0.000000
MOp,PGRNd,Directed,76,Pallidum,,0.000000
MOp,PGRNl,Directed,77,Pallidum,,0.000010
MOp,RM,Directed,78,Pallidum,,0.000000
MOs,FRP,Directed,79,Thalamus,,0.000000
